country,time,price
Belgium,2017-S1,0.2857
Belgium,2017-S2,0.2877
Belgium,2018-S1,0.2824
Belgium,2018-S2,0.2936
Belgium,2019-S1,0.2839
Belgium,2019-S2,0.286
Belgium,2020-S1,0.2792
Belgium,2020-S2,0.2702
Belgium,2021-S1,0.2702
Belgium,2021-S2,0.2994
Belgium,2022-S1,0.3437
Belgium,2022-S2,0.4489
Belgium,2023-S1,0.435
Belgium,2023-S2,0.3778
Belgium,2024-S1,0.3354
Belgium,2024-S2,0.3313
Belgium,2025-S1,0.3571
Bulgaria,2017-S1,0.0955
Bulgaria,2017-S2,0.0983
Bulgaria,2018-S1,0.0979
Bulgaria,2018-S2,0.1005
Bulgaria,2019-S1,0.0997
Bulgaria,2019-S2,0.0958
Bulgaria,2020-S1,0.0997
Bulgaria,2020-S2,0.0982
Bulgaria,2021-S1,0.1024
Bulgaria,2021-S2,0.1091
Bulgaria,2022-S1,0.1093
Bulgaria,2022-S2,0.1147
Bulgaria,2023-S1,0.1138
Bulgaria,2023-S2,0.1192
Bulgaria,2024-S1,0.1187
Bulgaria,2024-S2,0.1217
Bulgaria,2025-S1,0.13
Czechia,2017-S1,0.1438
Czechia,2017-S2,0.1488
Czechia,2018-S1,0.1573
Czechia,2018-S2,0.1586
Czechia,2019-S1,0.1748
Czechia,2019-S2,0.177
Czechia,2020-S1,0.1841
Czechia,2020-S2,0.1795
Czechia,2021-S1,0.1802
Czechia,2021-S2,0.1883
Czechia,2022-S1,0.2445
Czechia,2022-S2,0.1721
Czechia,2023-S1,0.319
Czechia,2023-S2,0.3151
Czechia,2024-S1,0.3381
Czechia,2024-S2,0.3302
Czechia,2025-S1,0.3179
Estonia,2017-S1,0.1207
Estonia,2017-S2,0.1319
Estonia,2018-S1,0.1348
Estonia,2018-S2,0.1418
Estonia,2019-S1,0.1357
Estonia,2019-S2,0.1411
Estonia,2020-S1,0.1236
Estonia,2020-S2,0.1291
Estonia,2021-S1,0.1324
Estonia,2021-S2,0.1939
Estonia,2022-S1,0.2056
Estonia,2022-S2,0.265
Estonia,2023-S1,0.216
Estonia,2023-S2,0.2339
Estonia,2024-S1,0.23
Estonia,2024-S2,0.2214
Estonia,2025-S1,0.2298
Finland,2017-S1,0.1581
Finland,2017-S2,0.1599
Finland,2018-S1,0.1612
Finland,2018-S2,0.1698
Finland,2019-S1,0.1734
Finland,2019-S2,0.1783
Finland,2020-S1,0.174
Finland,2020-S2,0.1773
Finland,2021-S1,0.1767
Finland,2021-S2,0.184
Finland,2022-S1,0.1934
Finland,2022-S2,0.2474
Finland,2023-S1,0.2557
Finland,2023-S2,0.2403
Finland,2024-S1,0.2489
Finland,2024-S2,0.2319
Finland,2025-S1,0.2246
France,2017-S1,0.1704
France,2017-S2,0.1756
France,2018-S1,0.1748
France,2018-S2,0.1799
France,2019-S1,0.1778
France,2019-S2,0.1913
France,2020-S1,0.1893
France,2020-S2,0.1958
France,2021-S1,0.1946
France,2021-S2,0.2022
France,2022-S1,0.2092
France,2022-S2,0.2204
France,2023-S1,0.23
France,2023-S2,0.2591
France,2024-S1,0.2847
France,2024-S2,0.2926
France,2025-S1,0.2664
Germany,2017-S1,0.3048
Germany,2017-S2,0.3048
Germany,2018-S1,0.2987
Germany,2018-S2,0.3
Germany,2019-S1,0.3088
Germany,2019-S2,0.2878
Germany,2020-S1,0.3043
Germany,2020-S2,0.3006
Germany,2021-S1,0.3193
Germany,2021-S2,0.3234
Germany,2022-S1,0.3279
Germany,2022-S2,0.3357
Germany,2023-S1,0.4125
Germany,2023-S2,0.402
Germany,2024-S1,0.3951
Germany,2024-S2,0.3943
Germany,2025-S1,0.3835
Greece,2017-S1,0.1711
Greece,2017-S2,0.162
Greece,2018-S1,0.1672
Greece,2018-S2,0.1646
Greece,2019-S1,0.1595
Greece,2019-S2,0.1551
Greece,2020-S1,0.1674
Greece,2020-S2,0.1641
Greece,2021-S1,0.168
Greece,2021-S2,0.1974
Greece,2022-S1,0.2101
Greece,2022-S2,0.2438
Greece,2023-S1,0.2327
Greece,2023-S2,0.2309
Greece,2024-S1,0.2218
Greece,2024-S2,0.2311
Greece,2025-S1,0.2263
Hungary,2017-S1,0.1125
Hungary,2017-S2,0.1134
Hungary,2018-S1,0.1123
Hungary,2018-S2,0.1118
Hungary,2019-S1,0.112
Hungary,2019-S2,0.1097
Hungary,2020-S1,0.1031
Hungary,2020-S2,0.1009
Hungary,2021-S1,0.101
Hungary,2021-S2,0.1003
Hungary,2022-S1,0.0948
Hungary,2022-S2,0.1084
Hungary,2023-S1,0.1157
Hungary,2023-S2,0.1132
Hungary,2024-S1,0.1094
Hungary,2024-S2,0.1032
Hungary,2025-S1,0.104
Ireland,2017-S1,0.2305
Ireland,2017-S2,0.2355
Ireland,2018-S1,0.2369
Ireland,2018-S2,0.2539
Ireland,2019-S1,0.2423
Ireland,2019-S2,0.2546
Ireland,2020-S1,0.2409
Ireland,2020-S2,0.2616
Ireland,2021-S1,0.2555
Ireland,2021-S2,0.2974
Ireland,2022-S1,0.2324
Ireland,2022-S2,0.3225
Ireland,2023-S1,0.2735
Ireland,2023-S2,0.3794
Ireland,2024-S1,0.259
Ireland,2024-S2,0.3046
Ireland,2025-S1,0.326
Italy,2017-S1,0.2132
Italy,2017-S2,0.208
Italy,2018-S1,0.2067
Italy,2018-S2,0.2161
Italy,2019-S1,0.2301
Italy,2019-S2,0.2341
Italy,2020-S1,0.2226
Italy,2020-S2,0.2153
Italy,2021-S1,0.2259
Italy,2021-S2,0.236
Italy,2022-S1,0.3115
Italy,2022-S2,0.3641
Italy,2023-S1,0.3782
Italy,2023-S2,0.3347
Italy,2024-S1,0.3274
Italy,2024-S2,0.3111
Italy,2025-S1,0.3291
Latvia,2017-S1,0.1586
Latvia,2017-S2,0.1582
Latvia,2018-S1,0.1531
Latvia,2018-S2,0.1511
Latvia,2019-S1,0.1629
Latvia,2019-S2,0.164
Latvia,2020-S1,0.142
Latvia,2020-S2,0.1432
Latvia,2021-S1,0.1403
Latvia,2021-S2,0.1886
Latvia,2022-S1,0.1759
Latvia,2022-S2,0.2992
Latvia,2023-S1,0.3054
Latvia,2023-S2,0.2774
Latvia,2024-S1,0.2546
Latvia,2024-S2,0.2279
Latvia,2025-S1,0.244
Lithuania,2017-S1,0.1116
Lithuania,2017-S2,0.1107
Lithuania,2018-S1,0.1097
Lithuania,2018-S2,0.1097
Lithuania,2019-S1,0.1255
Lithuania,2019-S2,0.1254
Lithuania,2020-S1,0.1426
Lithuania,2020-S2,0.1321
Lithuania,2021-S1,0.1348
Lithuania,2021-S2,0.1477
Lithuania,2022-S1,0.1497
Lithuania,2022-S2,0.2429
Lithuania,2023-S1,0.282
Lithuania,2023-S2,0.2223
Lithuania,2024-S1,0.2315
Lithuania,2024-S2,0.2144
Lithuania,2025-S1,0.2109
Poland,2017-S1,0.1446
Poland,2017-S2,0.1451
Poland,2018-S1,0.141
Poland,2018-S2,0.1396
Poland,2019-S1,0.1343
Poland,2019-S2,0.1376
Poland,2020-S1,0.1475
Poland,2020-S2,0.151
Poland,2021-S1,0.1548
Poland,2021-S2,0.1574
Poland,2022-S1,0.1464
Poland,2022-S2,0.1604
Poland,2023-S1,0.1769
Poland,2023-S2,0.2162
Poland,2024-S1,0.209
Poland,2024-S2,0.2477
Poland,2025-S1,0.2559
Portugal,2017-S1,0.2284
Portugal,2017-S2,0.223
Portugal,2018-S1,0.2246
Portugal,2018-S2,0.2293
Portugal,2019-S1,0.215
Portugal,2019-S2,0.2181
Portugal,2020-S1,0.212
Portugal,2020-S2,0.2133
Portugal,2021-S1,0.2089
Portugal,2021-S2,0.217
Portugal,2022-S1,0.2199
Portugal,2022-S2,0.2222
Portugal,2023-S1,0.2071
Portugal,2023-S2,0.2299
Portugal,2024-S1,0.2426
Portugal,2024-S2,0.2626
Portugal,2025-S1,0.239
Spain,2017-S1,0.2296
Spain,2017-S2,0.2177
Spain,2018-S1,0.2383
Spain,2018-S2,0.2477
Spain,2019-S1,0.2403
Spain,2019-S2,0.2394
Spain,2020-S1,0.2239
Spain,2020-S2,0.2298
Spain,2021-S1,0.2323
Spain,2021-S2,0.2816
Spain,2022-S1,0.3071
Spain,2022-S2,0.335
Spain,2023-S1,0.2454
Spain,2023-S2,0.2347
Spain,2024-S1,0.2436
Spain,2024-S2,0.2408
Spain,2025-S1,0.2608
Denmark,2017-S1,0.3049
Denmark,2017-S2,0.301
Denmark,2018-S1,0.3126
Denmark,2018-S2,0.3123
Denmark,2019-S1,0.2984
Denmark,2019-S2,0.2924
Denmark,2020-S1,0.2833
Denmark,2020-S2,0.2819
Denmark,2021-S1,0.29
Denmark,2021-S2,0.3448
Denmark,2022-S1,0.4559
Denmark,2022-S2,0.5871
Denmark,2023-S1,0.3811
Denmark,2023-S2,0.3554
Denmark,2024-S1,0.3708
Denmark,2024-S2,0.3763
Denmark,2025-S1,0.3485
Romania,2017-S1,0.1198
Romania,2017-S2,0.1289
Romania,2018-S1,0.1333
Romania,2018-S2,0.1317
Romania,2019-S1,0.1358
Romania,2019-S2,0.1421
Romania,2020-S1,0.1459
Romania,2020-S2,0.1449
Romania,2021-S1,0.1536
Romania,2021-S2,0.1602
Romania,2022-S1,0.2362
Romania,2022-S2,0.3411
Romania,2023-S1,0.1892
Romania,2023-S2,0.191
Romania,2024-S1,0.1883
Romania,2024-S2,0.1863
Romania,2025-S1,0.1918
