country,quarter,precipitation
Austria,2017Q1,50.2
Austria,2017Q2,45.8
Austria,2017Q3,43.5
Austria,2017Q4,56.9
Austria,2018Q1,52.8
Austria,2018Q2,43.5
Austria,2018Q3,41.8
Austria,2018Q4,59.5
Austria,2019Q1,51.5
Austria,2019Q2,44.7
Austria,2019Q3,42.6
Austria,2019Q4,58.2
Austria,2020Q1,53.9
Austria,2020Q2,43.2
Austria,2020Q3,44.8
Austria,2020Q4,60.9
Austria,2021Q1,52.3
Austria,2021Q2,44.5
Austria,2021Q3,43.1
Austria,2021Q4,59.5
Austria,2022Q1,55.2
Austria,2022Q2,42.1
Austria,2022Q3,45.9
Austria,2022Q4,62.2
Austria,2023Q1,53
Austria,2023Q2,44.2
Austria,2023Q3,43.8
Austria,2023Q4,59.9
Austria,2024Q1,54.9
Austria,2024Q2,42.5
Austria,2024Q3,45.6
Austria,2024Q4,61.9
Austria,2025Q1,54.2
Austria,2025Q2,43.1
Austria,2025Q3,46.2
Austria,2025Q4,60.9
Bulgaria,2017Q1,68.5
Bulgaria,2017Q2,32.2
Bulgaria,2017Q3,18.6
Bulgaria,2017Q4,75.3
Bulgaria,2018Q1,72.1
Bulgaria,2018Q2,29.8
Bulgaria,2018Q3,20.3
Bulgaria,2018Q4,78.6
Bulgaria,2019Q1,69.4
Bulgaria,2019Q2,31.5
Bulgaria,2019Q3,19.2
Bulgaria,2019Q4,76.8
Bulgaria,2020Q1,71.2
Bulgaria,2020Q2,30.5
Bulgaria,2020Q3,21.1
Bulgaria,2020Q4,79.5
Bulgaria,2021Q1,68.8
Bulgaria,2021Q2,32.1
Bulgaria,2021Q3,19.8
Bulgaria,2021Q4,77.2
Bulgaria,2022Q1,73.5
Bulgaria,2022Q2,28.9
Bulgaria,2022Q3,22.3
Bulgaria,2022Q4,81.2
Bulgaria,2023Q1,70.8
Bulgaria,2023Q2,31.2
Bulgaria,2023Q3,20.5
Bulgaria,2023Q4,78.9
Bulgaria,2024Q1,72.5
Bulgaria,2024Q2,29.5
Bulgaria,2024Q3,21.8
Bulgaria,2024Q4,80.5
Bulgaria,2025Q1,74.2
Bulgaria,2025Q2,30.1
Bulgaria,2025Q3,22.5
Bulgaria,2025Q4,82.1
Cyprus,2017Q1,92.6
Cyprus,2017Q2,25.3
Cyprus,2017Q3,8.5
Cyprus,2017Q4,98.9
Cyprus,2018Q1,95.2
Cyprus,2018Q2,23.8
Cyprus,2018Q3,9.2
Cyprus,2018Q4,101.5
Cyprus,2019Q1,93.9
Cyprus,2019Q2,24.5
Cyprus,2019Q3,8.8
Cyprus,2019Q4,100.2
Cyprus,2020Q1,96.3
Cyprus,2020Q2,22.9
Cyprus,2020Q3,9.8
Cyprus,2020Q4,102.8
Cyprus,2021Q1,94.7
Cyprus,2021Q2,24.2
Cyprus,2021Q3,9.1
Cyprus,2021Q4,101.4
Cyprus,2022Q1,97.5
Cyprus,2022Q2,21.8
Cyprus,2022Q3,10.5
Cyprus,2022Q4,104.5
Cyprus,2023Q1,95.1
Cyprus,2023Q2,23.5
Cyprus,2023Q3,9.5
Cyprus,2023Q4,102.5
Cyprus,2024Q1,96.8
Cyprus,2024Q2,22.2
Cyprus,2024Q3,10.2
Cyprus,2024Q4,104.2
Cyprus,2025Q1,98.5
Cyprus,2025Q2,23.1
Cyprus,2025Q3,10.8
Cyprus,2025Q4,105.9
Czechia,2017Q1,52.8
Czechia,2017Q2,45.6
Czechia,2017Q3,42.3
Czechia,2017Q4,58.9
Czechia,2018Q1,55.2
Czechia,2018Q2,43.1
Czechia,2018Q3,40.8
Czechia,2018Q4,61.5
Czechia,2019Q1,53.6
Czechia,2019Q2,44.8
Czechia,2019Q3,41.5
Czechia,2019Q4,59.7
Czechia,2020Q1,56.3
Czechia,2020Q2,42.8
Czechia,2020Q3,43.5
Czechia,2020Q4,62.3
Czechia,2021Q1,54.7
Czechia,2021Q2,44.5
Czechia,2021Q3,42.1
Czechia,2021Q4,60.5
Czechia,2022Q1,57.5
Czechia,2022Q2,41.9
Czechia,2022Q3,44.8
Czechia,2022Q4,63.9
Czechia,2023Q1,55.9
Czechia,2023Q2,43.5
Czechia,2023Q3,43.1
Czechia,2023Q4,61.5
Czechia,2024Q1,57.2
Czechia,2024Q2,42.2
Czechia,2024Q3,44.5
Czechia,2024Q4,63.5
Czechia,2025Q1,56.5
Czechia,2025Q2,42.8
Czechia,2025Q3,45.2
Czechia,2025Q4,62.8
Denmark,2017Q1,82.3
Denmark,2017Q2,75.6
Denmark,2017Q3,78.9
Denmark,2017Q4,86.5
Denmark,2018Q1,85.1
Denmark,2018Q2,73.2
Denmark,2018Q3,76.8
Denmark,2018Q4,89.2
Denmark,2019Q1,83.7
Denmark,2019Q2,74.5
Denmark,2019Q3,77.6
Denmark,2019Q4,87.8
Denmark,2020Q1,86.2
Denmark,2020Q2,72.9
Denmark,2020Q3,79.5
Denmark,2020Q4,90.1
Denmark,2021Q1,84.6
Denmark,2021Q2,74.2
Denmark,2021Q3,78.2
Denmark,2021Q4,88.7
Denmark,2022Q1,87.5
Denmark,2022Q2,71.8
Denmark,2022Q3,80.8
Denmark,2022Q4,91.8
Denmark,2023Q1,85.8
Denmark,2023Q2,73.5
Denmark,2023Q3,79.2
Denmark,2023Q4,89.7
Denmark,2024Q1,87.2
Denmark,2024Q2,72.2
Denmark,2024Q3,80.5
Denmark,2024Q4,91.5
Denmark,2025Q1,84.9
Denmark,2025Q2,71.9
Denmark,2025Q3,80.1
Denmark,2025Q4,89.2
Estonia,2017Q1,62.5
Estonia,2017Q2,58.3
Estonia,2017Q3,60.2
Estonia,2017Q4,68.9
Estonia,2018Q1,65.1
Estonia,2018Q2,56.8
Estonia,2018Q3,58.7
Estonia,2018Q4,71.5
Estonia,2019Q1,63.8
Estonia,2019Q2,57.5
Estonia,2019Q3,59.4
Estonia,2019Q4,70.2
Estonia,2020Q1,66.2
Estonia,2020Q2,56.5
Estonia,2020Q3,61.1
Estonia,2020Q4,72.3
Estonia,2021Q1,64.6
Estonia,2021Q2,58.2
Estonia,2021Q3,59.8
Estonia,2021Q4,71
Estonia,2022Q1,67.5
Estonia,2022Q2,55.8
Estonia,2022Q3,62.5
Estonia,2022Q4,73.9
Estonia,2023Q1,65.8
Estonia,2023Q2,57.2
Estonia,2023Q3,60.8
Estonia,2023Q4,72
Estonia,2024Q1,67.2
Estonia,2024Q2,56.2
Estonia,2024Q3,62.2
Estonia,2024Q4,73.6
Estonia,2025Q1,68.5
Estonia,2025Q2,57.8
Estonia,2025Q3,63.1
Estonia,2025Q4,74.5
Germany,2017Q1,65.2
Germany,2017Q2,58.9
Germany,2017Q3,56.3
Germany,2017Q4,70.5
Germany,2018Q1,67.8
Germany,2018Q2,56.5
Germany,2018Q3,54.8
Germany,2018Q4,72.9
Germany,2019Q1,66.5
Germany,2019Q2,57.8
Germany,2019Q3,55.6
Germany,2019Q4,71.7
Germany,2020Q1,68.9
Germany,2020Q2,55.6
Germany,2020Q3,57.2
Germany,2020Q4,73.8
Germany,2021Q1,67.2
Germany,2021Q2,57.5
Germany,2021Q3,56.1
Germany,2021Q4,72.5
Germany,2022Q1,70.2
Germany,2022Q2,54.8
Germany,2022Q3,58.5
Germany,2022Q4,75.2
Germany,2023Q1,68.5
Germany,2023Q2,56.2
Germany,2023Q3,56.8
Germany,2023Q4,73.5
Germany,2024Q1,70
Germany,2024Q2,55.2
Germany,2024Q3,58.2
Germany,2024Q4,74.9
Germany,2025Q1,68.2
Germany,2025Q2,55.8
Germany,2025Q3,58.8
Germany,2025Q4,73.2
Hungary,2017Q1,48.5
Hungary,2017Q2,52.3
Hungary,2017Q3,49.8
Hungary,2017Q4,45.6
Hungary,2018Q1,51.1
Hungary,2018Q2,49.9
Hungary,2018Q3,47.5
Hungary,2018Q4,48.2
Hungary,2019Q1,49.8
Hungary,2019Q2,51.1
Hungary,2019Q3,48.6
Hungary,2019Q4,46.9
Hungary,2020Q1,52.2
Hungary,2020Q2,49.6
Hungary,2020Q3,50.8
Hungary,2020Q4,49.3
Hungary,2021Q1,50.6
Hungary,2021Q2,51.3
Hungary,2021Q3,49.2
Hungary,2021Q4,47.6
Hungary,2022Q1,53.5
Hungary,2022Q2,48.8
Hungary,2022Q3,52.3
Hungary,2022Q4,50.9
Hungary,2023Q1,51.2
Hungary,2023Q2,50.3
Hungary,2023Q3,49.8
Hungary,2023Q4,48.6
Hungary,2024Q1,53.2
Hungary,2024Q2,49.2
Hungary,2024Q3,52
Hungary,2024Q4,50.6
Hungary,2025Q1,52.5
Hungary,2025Q2,49.8
Hungary,2025Q3,52.5
Hungary,2025Q4,49.9
Latvia,2017Q1,58.3
Latvia,2017Q2,54.6
Latvia,2017Q3,56.8
Latvia,2017Q4,65.2
Latvia,2018Q1,60.9
Latvia,2018Q2,52.3
Latvia,2018Q3,55.1
Latvia,2018Q4,67.8
Latvia,2019Q1,59.6
Latvia,2019Q2,53.5
Latvia,2019Q3,55.9
Latvia,2019Q4,66.5
Latvia,2020Q1,61.7
Latvia,2020Q2,52.1
Latvia,2020Q3,57.5
Latvia,2020Q4,68.9
Latvia,2021Q1,60.1
Latvia,2021Q2,53.8
Latvia,2021Q3,56.2
Latvia,2021Q4,67.5
Latvia,2022Q1,63.2
Latvia,2022Q2,51.5
Latvia,2022Q3,58.9
Latvia,2022Q4,70.2
Latvia,2023Q1,61.5
Latvia,2023Q2,52.8
Latvia,2023Q3,57.2
Latvia,2023Q4,68.6
Latvia,2024Q1,63
Latvia,2024Q2,51.8
Latvia,2024Q3,58.6
Latvia,2024Q4,69.9
Latvia,2025Q1,64.2
Latvia,2025Q2,53.2
Latvia,2025Q3,59.5
Latvia,2025Q4,71
Lithuania,2017Q1,56.2
Lithuania,2017Q2,52.8
Lithuania,2017Q3,54.9
Lithuania,2017Q4,63.1
Lithuania,2018Q1,58.8
Lithuania,2018Q2,50.5
Lithuania,2018Q3,53.2
Lithuania,2018Q4,65.7
Lithuania,2019Q1,57.5
Lithuania,2019Q2,51.7
Lithuania,2019Q3,54.1
Lithuania,2019Q4,64.4
Lithuania,2020Q1,59.3
Lithuania,2020Q2,50.3
Lithuania,2020Q3,55.8
Lithuania,2020Q4,66.5
Lithuania,2021Q1,57.7
Lithuania,2021Q2,52
Lithuania,2021Q3,54.5
Lithuania,2021Q4,65.1
Lithuania,2022Q1,60.8
Lithuania,2022Q2,49.9
Lithuania,2022Q3,56.9
Lithuania,2022Q4,67.8
Lithuania,2023Q1,58.4
Lithuania,2023Q2,51
Lithuania,2023Q3,55.5
Lithuania,2023Q4,65.8
Lithuania,2024Q1,60.5
Lithuania,2024Q2,50.2
Lithuania,2024Q3,56.6
Lithuania,2024Q4,67.5
Lithuania,2025Q1,61.8
Lithuania,2025Q2,51.5
Lithuania,2025Q3,57.2
Lithuania,2025Q4,68.2
Luxembourg,2017Q1,55.6
Luxembourg,2017Q2,48.9
Luxembourg,2017Q3,46.5
Luxembourg,2017Q4,62.3
Luxembourg,2018Q1,58.2
Luxembourg,2018Q2,46.5
Luxembourg,2018Q3,44.8
Luxembourg,2018Q4,64.9
Luxembourg,2019Q1,56.9
Luxembourg,2019Q2,47.8
Luxembourg,2019Q3,45.6
Luxembourg,2019Q4,63.6
Luxembourg,2020Q1,59.3
Luxembourg,2020Q2,46.2
Luxembourg,2020Q3,47.5
Luxembourg,2020Q4,65.7
Luxembourg,2021Q1,57.7
Luxembourg,2021Q2,47.5
Luxembourg,2021Q3,46.1
Luxembourg,2021Q4,64.3
Luxembourg,2022Q1,60.8
Luxembourg,2022Q2,45.5
Luxembourg,2022Q3,48.9
Luxembourg,2022Q4,67
Luxembourg,2023Q1,58.4
Luxembourg,2023Q2,46.9
Luxembourg,2023Q3,46.8
Luxembourg,2023Q4,65.3
Luxembourg,2024Q1,60.5
Luxembourg,2024Q2,45.8
Luxembourg,2024Q3,48.6
Luxembourg,2024Q4,66.7
Luxembourg,2025Q1,59.8
Luxembourg,2025Q2,46.2
Luxembourg,2025Q3,49.2
Luxembourg,2025Q4,65.9
Malta,2017Q1,90.3
Malta,2017Q2,22.8
Malta,2017Q3,7.6
Malta,2017Q4,96.5
Malta,2018Q1,93.1
Malta,2018Q2,21.5
Malta,2018Q3,8.2
Malta,2018Q4,99.2
Malta,2019Q1,91.8
Malta,2019Q2,22.1
Malta,2019Q3,7.9
Malta,2019Q4,97.8
Malta,2020Q1,94.2
Malta,2020Q2,20.9
Malta,2020Q3,8.8
Malta,2020Q4,99.8
Malta,2021Q1,92.6
Malta,2021Q2,22.2
Malta,2021Q3,8.1
Malta,2021Q4,98.4
Malta,2022Q1,95.5
Malta,2022Q2,20.5
Malta,2022Q3,9.5
Malta,2022Q4,101.5
Malta,2023Q1,93.1
Malta,2023Q2,21.2
Malta,2023Q3,8.5
Malta,2023Q4,99.5
Malta,2024Q1,95.2
Malta,2024Q2,20.8
Malta,2024Q3,9.2
Malta,2024Q4,101.2
Malta,2025Q1,96.9
Malta,2025Q2,21.5
Malta,2025Q3,9.8
Malta,2025Q4,102.9
Netherlands,2017Q1,88.5
Netherlands,2017Q2,82.3
Netherlands,2017Q3,84.6
Netherlands,2017Q4,92.8
Netherlands,2018Q1,91.2
Netherlands,2018Q2,80.1
Netherlands,2018Q3,82.5
Netherlands,2018Q4,95.4
Netherlands,2019Q1,89.8
Netherlands,2019Q2,81.2
Netherlands,2019Q3,83.7
Netherlands,2019Q4,94.1
Netherlands,2020Q1,92.3
Netherlands,2020Q2,79.8
Netherlands,2020Q3,85.2
Netherlands,2020Q4,96.8
Netherlands,2021Q1,90.7
Netherlands,2021Q2,81
Netherlands,2021Q3,83.9
Netherlands,2021Q4,95.4
Netherlands,2022Q1,93.8
Netherlands,2022Q2,78.9
Netherlands,2022Q3,86.9
Netherlands,2022Q4,98.5
Netherlands,2023Q1,91
Netherlands,2023Q2,80.5
Netherlands,2023Q3,84.9
Netherlands,2023Q4,95.8
Netherlands,2024Q1,93.5
Netherlands,2024Q2,79.2
Netherlands,2024Q3,86.6
Netherlands,2024Q4,98.2
Netherlands,2025Q1,90.8
Netherlands,2025Q2,78.9
Netherlands,2025Q3,86.2
Netherlands,2025Q4,96.5
Norway,2017Q1,102.3
Norway,2017Q2,95.6
Norway,2017Q3,98.9
Norway,2017Q4,110.5
Norway,2018Q1,105.1
Norway,2018Q2,93.2
Norway,2018Q3,96.8
Norway,2018Q4,113.2
Norway,2019Q1,103.7
Norway,2019Q2,94.5
Norway,2019Q3,97.6
Norway,2019Q4,111.8
Norway,2020Q1,106.4
Norway,2020Q2,92.9
Norway,2020Q3,99.8
Norway,2020Q4,114.2
Norway,2021Q1,104.8
Norway,2021Q2,94.6
Norway,2021Q3,98.2
Norway,2021Q4,112.8
Norway,2022Q1,107.9
Norway,2022Q2,91.8
Norway,2022Q3,101.5
Norway,2022Q4,115.9
Norway,2023Q1,105.5
Norway,2023Q2,93.9
Norway,2023Q3,99.5
Norway,2023Q4,113.9
Norway,2024Q1,107.6
Norway,2024Q2,92.2
Norway,2024Q3,101.2
Norway,2024Q4,115.6
Norway,2025Q1,104.2
Norway,2025Q2,91.9
Norway,2025Q3,100.8
Norway,2025Q4,113.2
Poland,2017Q1,59.6
Poland,2017Q2,62.3
Poland,2017Q3,59.8
Poland,2017Q4,56.5
Poland,2018Q1,62.2
Poland,2018Q2,59.9
Poland,2018Q3,57.5
Poland,2018Q4,59.1
Poland,2019Q1,60.9
Poland,2019Q2,61.1
Poland,2019Q3,58.6
Poland,2019Q4,57.8
Poland,2020Q1,63.3
Poland,2020Q2,59.6
Poland,2020Q3,60.8
Poland,2020Q4,60.2
Poland,2021Q1,61.7
Poland,2021Q2,60.9
Poland,2021Q3,59.2
Poland,2021Q4,58.5
Poland,2022Q1,64.8
Poland,2022Q2,58.8
Poland,2022Q3,62.3
Poland,2022Q4,61.9
Poland,2023Q1,62
Poland,2023Q2,60.3
Poland,2023Q3,59.8
Poland,2023Q4,59.2
Poland,2024Q1,64.5
Poland,2024Q2,59.2
Poland,2024Q3,62
Poland,2024Q4,61.6
Poland,2025Q1,63.8
Poland,2025Q2,59.8
Poland,2025Q3,62.5
Poland,2025Q4,60.9
Romania,2017Q1,65.3
Romania,2017Q2,42.2
Romania,2017Q3,38.6
Romania,2017Q4,72.1
Romania,2018Q1,68.1
Romania,2018Q2,39.8
Romania,2018Q3,40.3
Romania,2018Q4,75.4
Romania,2019Q1,66.6
Romania,2019Q2,41.5
Romania,2019Q3,39.2
Romania,2019Q4,73.7
Romania,2020Q1,69.4
Romania,2020Q2,39.6
Romania,2020Q3,41.1
Romania,2020Q4,76.2
Romania,2021Q1,67.8
Romania,2021Q2,41.2
Romania,2021Q3,39.8
Romania,2021Q4,74.8
Romania,2022Q1,70.8
Romania,2022Q2,38.8
Romania,2022Q3,42.8
Romania,2022Q4,77.9
Romania,2023Q1,68.1
Romania,2023Q2,40.9
Romania,2023Q3,40.5
Romania,2023Q4,75.5
Romania,2024Q1,70.5
Romania,2024Q2,39.2
Romania,2024Q3,42.5
Romania,2024Q4,77.6
Romania,2025Q1,72.2
Romania,2025Q2,39.8
Romania,2025Q3,43.2
Romania,2025Q4,78.9
Slovenia,2017Q1,58.5
Slovenia,2017Q2,46.2
Slovenia,2017Q3,43.8
Slovenia,2017Q4,65.3
Slovenia,2018Q1,61.1
Slovenia,2018Q2,43.8
Slovenia,2018Q3,45.3
Slovenia,2018Q4,68
Slovenia,2019Q1,59.8
Slovenia,2019Q2,45.5
Slovenia,2019Q3,44.5
Slovenia,2019Q4,66.6
Slovenia,2020Q1,62.2
Slovenia,2020Q2,43.5
Slovenia,2020Q3,45.8
Slovenia,2020Q4,68.9
Slovenia,2021Q1,60.6
Slovenia,2021Q2,45.2
Slovenia,2021Q3,44.1
Slovenia,2021Q4,67.5
Slovenia,2022Q1,63.9
Slovenia,2022Q2,42.8
Slovenia,2022Q3,47.2
Slovenia,2022Q4,70.6
Slovenia,2023Q1,61.2
Slovenia,2023Q2,44.9
Slovenia,2023Q3,44.8
Slovenia,2023Q4,67.9
Slovenia,2024Q1,63.6
Slovenia,2024Q2,43.2
Slovenia,2024Q3,46.9
Slovenia,2024Q4,70.3
Slovenia,2025Q1,64.9
Slovenia,2025Q2,43.8
Slovenia,2025Q3,47.5
Slovenia,2025Q4,71.5
Sweden,2017Q1,75.2
Sweden,2017Q2,68.9
Sweden,2017Q3,71.3
Sweden,2017Q4,82.5
Sweden,2018Q1,77.8
Sweden,2018Q2,66.5
Sweden,2018Q3,69.8
Sweden,2018Q4,85.1
Sweden,2019Q1,76.5
Sweden,2019Q2,67.8
Sweden,2019Q3,70.6
Sweden,2019Q4,83.8
Sweden,2020Q1,79
Sweden,2020Q2,66.2
Sweden,2020Q3,72.2
Sweden,2020Q4,86.2
Sweden,2021Q1,77.4
Sweden,2021Q2,67.9
Sweden,2021Q3,70.9
Sweden,2021Q4,84.8
Sweden,2022Q1,80.5
Sweden,2022Q2,65.5
Sweden,2022Q3,73.9
Sweden,2022Q4,87.9
Sweden,2023Q1,78.1
Sweden,2023Q2,67.2
Sweden,2023Q3,71.9
Sweden,2023Q4,85.9
Sweden,2024Q1,79.8
Sweden,2024Q2,66.2
Sweden,2024Q3,73.6
Sweden,2024Q4,87.6
Sweden,2025Q1,77.5
Sweden,2025Q2,65.9
Sweden,2025Q3,73.2
Sweden,2025Q4,86.2
Turkey,2017Q1,85.6
Turkey,2017Q2,38.3
Turkey,2017Q3,22.5
Turkey,2017Q4,92.1
Turkey,2018Q1,88.2
Turkey,2018Q2,36.8
Turkey,2018Q3,24.2
Turkey,2018Q4,94.8
Turkey,2019Q1,86.9
Turkey,2019Q2,37.5
Turkey,2019Q3,23.1
Turkey,2019Q4,93.4
Turkey,2020Q1,89.3
Turkey,2020Q2,36.5
Turkey,2020Q3,24.8
Turkey,2020Q4,95.9
Turkey,2021Q1,87.7
Turkey,2021Q2,38.2
Turkey,2021Q3,23.5
Turkey,2021Q4,94.5
Turkey,2022Q1,90.8
Turkey,2022Q2,35.8
Turkey,2022Q3,25.9
Turkey,2022Q4,97.6
Turkey,2023Q1,88
Turkey,2023Q2,37.2
Turkey,2023Q3,24.5
Turkey,2023Q4,94.9
Turkey,2024Q1,89.8
Turkey,2024Q2,36.2
Turkey,2024Q3,25.6
Turkey,2024Q4,97.3
Turkey,2025Q1,91.5
Turkey,2025Q2,36.8
Turkey,2025Q3,26.2
Turkey,2025Q4,98.9
